benchmarks,HyperG_A6000,gHyPart_3090,HyperG_edgecut,gHyPart_edgecut,perf. over HyperG,,,,,,,,,,
ibm01,0.77,0.00947769,1498,261,81.24342535,,,,,,,,,,
ibm02,1.692,0.00820572,1572,408,206.197628,,,,,,,,,,
ibm03,0.908,0.00682976,1665,1427,132.9475706,,,,,,,,,,
ibm04,1.567,0.00745852,1699,664,210.0953004,,,,,,,,,,
ibm05,2.134,0.0142846,814,2460,149.3916525,,,,,,,,,,
ibm06,1.351,0.00966282,1691,1133,139.8142571,,,,,,,,,,
ibm07,1.318,0.0096169,1745,1168,137.0504009,,,,,,,,,,
ibm08,1.896,0.009152,853,1347,207.1678322,,,,,,,,,,
ibm09,1.031,0.00863428,1794,1136,119.4077561,,,,,,,,,,
ibm10,1.526,0.0181409,1808,2843,84.11931051,,,,,,,,,,
ibm11,1.197,0.00700539,1802,1340,170.8684313,,,,,,,,,,
ibm12,1.956,0.0141577,1811,2616,138.1580341,,,,,,,,,,
ibm13,0.998,0.0114435,1835,2508,87.21108053,,,,,,,,,,
ibm14,1.197,0.0113272,1802,3404,105.6748358,,,,,,,,,,
ibm15,2.136,0.0144554,1859,4882,147.7648491,,,,,,,,,,
ibm16,2.005,0.0167791,1866,2244,119.4938942,,,,,,,,,,
ibm17,3.225,0.0130793,1861,2911,246.5728288,,,,,,,,,,
ibm18,2.191,0.0125553,1852,2385,174.5079767,,,,,,,,,,
Geom,,,,,140.5946062,,,,,,,,,,