dataset,HNs,HEs,pins,avgHEsize,sdHEsize,sd/avg,minHEsize,maxHEsize,avgHNdegree,sdHNdegree,minHnDegree,maxHnDegree,best_matching_pattern,best_merging_pattern,best_construction_pattern
sat_10pipe_d,2082017,77639,6164595,79.4008,337.048,4.244894258,2,9334,2.96088,8.16733,1,263,P3,P3,P2b
sat_10pipe,155278,2082017,6164595,2.96088,8.16733,2.758413039,1,263,39.7004,169.863,1,4672,P3,P1,P3
sat_10pipe_p,77639,2082017,6164595,2.96088,8.16733,2.758413039,1,263,79.4008,337.048,2,9334,P1,P1,P3
sat_11pipe_d,5584003,89315,16593705,185.789,1696.43,9.130949626,2,57073,2.97165,10.2835,1,295,P3,P3,P2b
sat_11pipe,178630,5584003,16593705,2.97165,10.2835,3.460535393,1,295,92.8943,849.198,1,28538,P3,P1,P3
sat_11pipe_p,89315,5584003,16593705,2.97165,10.2835,3.460535393,1,295,185.789,1696.43,2,57073,P1,P1,P3
sat_11pipe_kd,3007883,104244,8917203,85.5416,389.935,4.558425374,2,11635,2.96461,8.73463,1,306,P3,P3,P2b
sat_11pipe_k,208488,3007883,8917203,2.96461,8.73463,2.946299851,1,306,42.7708,196.39,1,5823,P3,P1,P3
sat_11pipe_kp,104244,3007883,8917203,2.96461,8.73463,2.946299851,1,306,85.5416,389.935,2,11635,P1,P1,P3
sat_6s10_d,99184,33900,231428,6.82678,16.7094,2.447625381,4,2652,2.33332,0.471421,1,3,P3,P3,P3
sat_6s10,67800,99184,231428,2.33332,0.471421,0.202038726,1,3,3.41339,8.36926,1,1326,P3,P1,P3
sat_6s10_p,33900,99184,231428,2.33332,0.471421,0.202038726,1,3,6.82678,16.7094,4,2652,P1,P1,P3
sat_6s11_d,97312,33276,227060,6.82354,15.9019,2.330447246,2,2552,2.33332,0.471421,1,3,P3,P3,P3
sat_6s11,66552,97312,227060,2.33332,0.471421,0.202038726,1,3,3.41177,7.96625,1,1276,P3,P1,P2
sat_6s11_p,33276,97312,227060,2.33332,0.471421,0.202038726,1,3,6.82354,15.9019,2,2552,P3,P3,P3
sat_6s12_d,99580,34033,232352,6.82726,16.6884,2.444377393,4,2652,2.33332,0.471421,1,3,P3,P2,P2b
sat_6s12,68066,99580,232352,2.33332,0.471421,0.202038726,1,3,3.41363,8.3588,1,1326,P3,P1,P2
sat_6s12_p,34033,99580,232352,2.33332,0.471421,0.202038726,1,3,6.82726,16.6884,4,2652,P3,P1,P3
sat_130_d,144361,49327,336841,6.82873,13.0861,1.916329976,2,2126,2.33332,0.471416,1,3,P3,P2,P3
sat_130,98654,144361,336841,2.33332,0.471416,0.202036583,1,3,3.41437,6.56166,1,1063,P1,P1,P3
sat_130_p,49327,144361,336841,2.33332,0.471416,0.202036583,1,3,6.82873,13.0861,2,2126,P3,P1,P3
sat_131_d,144226,49282,336526,6.82858,13.0779,1.915171236,2,2122,2.33332,0.471416,1,3,P3,P2,P3
sat_131,98564,144226,336526,2.33332,0.471416,0.202036583,1,3,3.41429,6.55757,1,1061,P3,P1,P3
sat_131_p,49282,144226,336526,2.33332,0.471416,0.202036583,1,3,6.82858,13.0779,2,2122,P3,P1,P3
sat_133_d,140968,48215,328924,6.82203,16.3221,2.39255764,4,2912,2.33332,0.471416,1,3,P3,P3,P3
sat_133,96430,140968,328924,2.33332,0.471416,0.202036583,1,3,3.41101,8.17595,1,1456,P3,P1,P3
sat_133_p,48215,140968,328924,2.33332,0.471416,0.202036583,1,3,6.82203,16.3221,4,2912,P3,P1,P3
sat_153_d,245440,85646,572692,6.68673,11.6351,1.740028385,4,2048,2.33333,0.471411,1,3,P3,P3,P3
sat_153,171292,245440,572692,2.33333,0.471411,0.202033574,1,3,3.34337,5.83802,1,1024,P1,P1,P2
sat_153_p,85646,245440,572692,2.33333,0.471411,0.202033574,1,3,6.68673,11.6351,4,2048,P3,P1,P2
sat_16_d,91888,31483,214404,6.81015,17.3005,2.540399257,4,2692,2.33332,0.471422,1,3,P3,P2,P2
sat_16,62966,91888,214404,2.33332,0.471422,0.202039155,1,3,3.40508,8.6643,1,1346,P3,P1,P3
sat_16_p,31483,91888,214404,2.33332,0.471422,0.202039155,1,3,6.81015,17.3005,4,2692,P1,P1,P2
sat_184_d,97516,33365,227536,6.8196,16.9067,2.479133674,4,2696,2.33332,0.471421,1,3,P3,P2,P3
sat_184,66730,97516,227536,2.33332,0.471421,0.202038726,1,3,3.4098,8.46772,1,1348,P1,P1,P3
sat_184_p,33365,97516,227536,2.33332,0.471421,0.202038726,1,3,6.8196,16.9067,4,2696,P1,P1,P2
sat_9_d,100384,34317,234228,6.82542,16.8247,2.465005816,4,2696,2.33332,0.471421,1,3,P3,P3,P2b
sat_9,68634,100384,234228,2.33332,0.471421,0.202038726,1,3,3.41271,8.42683,1,1348,P1,P1,P2
sat_9_p,34317,100384,234228,2.33332,0.471421,0.202038726,1,3,6.82542,16.8247,4,2696,P3,P1,P3
sat_9dlx_d,968295,69789,2788367,39.9542,224.993,5.631272807,2,23380,2.87967,5.434,1,110,P3,P3,P2b
sat_9dlx,139578,968295,2788367,2.87967,5.434,1.887021777,1,110,19.9771,112.962,1,11692,P3,P1,P3
sat_9dlx_p,69789,968295,2788367,2.87967,5.434,1.887021777,1,110,39.9542,224.993,2,23380,P1,P1,P3
sat_bug7,1042294,13378010,39203144,2.93042,8.64884,2.951399458,1,6689,37.6124,540.627,1,110469,P3,P1,P3
sat_bug8_d,13378617,521179,39204907,75.2235,1079.83,14.35495557,2,220932,2.93042,8.6488,1,6689,P3,P3,P2b
sat_bug8,1042358,13378617,39204907,2.93042,8.6488,2.951385808,1,6689,37.6117,540.612,1,110469,P3,P1,P3
sat_bug8_p,521179,13378617,39204907,2.93042,8.6488,2.951385808,1,6689,75.2235,1079.83,2,220932,P3,P1,P2
sat_aaai_d,308235,53919,690466,12.8056,10.0868,0.787686637,3,73,2.24006,1.88438,1,61,P3,P1,P3
sat_aaai,107838,308235,690466,2.24006,1.88438,0.841218539,1,61,6.40281,6.23005,1,67,P1,P1,P3
sat_aaai_p,53919,308235,690466,2.24006,1.88438,0.841218539,1,61,12.8056,10.0868,3,73,P3,P1,P2
sat_ACG_10p_d,1632906,381708,3841867,10.0649,8.75687,0.870040438,4,62,2.35278,0.916706,1,10,P3,P1,P2
sat_ACG_10p,763416,1632906,3841867,2.35278,0.916706,0.389626739,1,10,5.03247,4.85864,1,43,P3,P1,P3
sat_ACG_10p_p,381708,1632906,3841867,2.35278,0.916706,0.389626739,1,10,10.0649,8.75687,4,62,P3,P1,P2
sat_ACG_5p0_d,1390931,324716,3269132,10.0677,8.76748,0.87085233,4,62,2.35032,0.922549,1,10,P3,P1,P3
sat_ACG_5p0,649432,1390931,3269132,2.35032,0.922549,0.392520593,1,10,5.03383,4.87252,1,43,P3,P1,P3
sat_ACG_5p0_p,324716,1390931,3269132,2.35032,0.922549,0.392520593,1,10,10.0677,8.76748,4,62,P3,P1,P3
sat_ACG_5p1_d,1416850,331196,3333531,10.0651,8.75811,0.870146347,4,62,2.35278,0.916744,1,10,P3,P1,P3
sat_ACG_5p1,662392,1416850,3333531,2.35278,0.916744,0.389642891,1,10,5.03257,4.85925,1,43,P3,P1,P3
sat_ACG_5p1_p,331196,1416850,3333531,2.35278,0.916744,0.389642891,1,10,10.0651,8.75811,4,62,P3,P1,P3
sat_01_d,28770,7502,76290,10.1693,13.742,1.351322117,4,848,2.65172,5.13118,1,847,P3,P2,P3
sat_01,15004,28770,76290,2.65172,5.13118,1.93503839,1,847,5.08464,8.51566,2,846,P3,P3,P3
sat_01_p,7502,28770,76290,2.65172,5.13118,1.93503839,1,847,10.1693,13.742,4,848,P3,P3,P3
sat_27_d,29194,7729,77124,9.97852,38.7288,3.881216854,4,3246,2.64178,1.42869,1,201,P3,P3,P3
sat_27,15458,29194,77124,2.64178,1.42869,0.54080582,1,201,4.98926,19.4158,2,1623,P3,P3,P2
sat_27_p,7729,29194,77124,2.64178,1.42869,0.54080582,1,201,9.97852,38.7288,4,3246,P3,P3,P3
sat_enc1_opt1_05_d,561784,59517,2167217,36.4134,135.808,3.72961602,2,1031,3.85774,1.56434,1,11,P3,P3,P2b
sat_enc1_opt1_05,118700,561784,2167217,3.85774,1.56434,0.405506851,1,11,18.2579,70.5324,1,517,P3,P1,P3
sat_enc1_opt1_05_p,59517,561784,2167217,3.85774,1.56434,0.405506851,1,11,36.4134,135.808,2,1031,P1,P1,P2
sat_enc1_opt1_10_d,270831,46993,922875,19.6386,70.0636,3.567647388,2,979,3.40757,1.60693,1,11,P2,P3,P3
sat_enc1_opt1_10,93632,270831,922875,3.40757,1.60693,0.471576519,1,11,9.85641,38.8659,1,513,P1,P1,P2
sat_enc1_opt1_10_p,46993,270831,922875,3.40757,1.60693,0.471576519,1,11,19.6386,70.0636,2,979,P1,P1,P2
sat_enc1_opt1_15_d,644099,61642,2385303,38.6961,132.336,3.419879523,2,1031,3.70332,1.51785,1,11,P3,P3,P2b
sat_enc1_opt1_15,122885,644099,2385303,3.70332,1.51785,0.409861962,1,11,19.4109,69.0889,1,517,P1,P1,P3
sat_enc1_opt1_15_p,61642,644099,2385303,3.70332,1.51785,0.409861962,1,11,38.6961,132.336,2,1031,P3,P1,P3
sat_enc1_opt2_4_d,386163,14636,1652800,112.927,248.398,2.199633391,1,1031,4.28006,1.36431,1,15,P3,P3,P2b
sat_enc1_opt2_4,28738,386163,1652800,4.28006,1.36431,0.31875955,1,15,57.5127,130.721,1,520,P3,P1,P3
sat_enc1_opt2_4_p,14636,386163,1652800,4.28006,1.36431,0.31875955,1,15,112.927,248.398,1,1031,P1,P1,P2
sat_enc1_opt2_12_d,147853,9495,618608,65.1509,143.223,2.198327268,1,979,4.18394,1.58659,1,11,P3,P3,P2b
sat_enc1_opt2_12,18634,147853,618608,4.18394,1.58659,0.379209549,1,11,33.1978,81.2464,1,520,P3,P1,P2
sat_enc1_opt2_12_p,9495,147853,618608,4.18394,1.58659,0.379209549,1,11,65.1509,143.223,1,979,P1,P1,P2
sat_enc1_opt2_16_d,152744,9643,641139,66.4875,142.597,2.144718932,1,979,4.19747,1.58224,1,11,P3,P2,P2
sat_enc1_opt2_16,18930,152744,641139,4.19747,1.58224,0.376950878,1,11,33.8689,80.8318,1,520,P1,P1,P2
sat_enc1_opt2_16_p,9643,152744,641139,4.19747,1.58224,0.376950878,1,11,66.4875,142.597,1,979,P3,P1,P3
sat_enc2_opt1_05_d,526872,56533,2097393,37.1003,139.375,3.756708167,2,1031,3.98084,1.53801,1,11,P3,P3,P2b
sat_enc2_opt1_05,112732,526872,2097393,3.98084,1.53801,0.386353131,1,11,18.6051,72.3771,1,517,P3,P1,P3
sat_enc2_opt1_05_p,56533,526872,2097393,3.98084,1.53801,0.386353131,1,11,37.1003,139.375,2,1031,P1,P1,P2
sat_enc2_opt1_15_d,580963,58752,2227755,37.9179,134.9,3.557686475,2,1031,3.83459,1.53366,1,11,P3,P3,P2b
sat_enc2_opt1_15,117116,580963,2227755,3.83459,1.53366,0.399954102,1,11,19.0218,70.2946,1,517,P3,P1,P3
sat_enc2_opt1_15_p,58752,580963,2227755,3.83459,1.53366,0.399954102,1,11,37.9179,134.9,2,1031,P1,P1,P2
sat_enc3_opt1_50_d,6429816,1613160,16042866,9.94499,34.4855,3.467625407,1,1024,2.49507,0.531918,1,15,P3,P1,P2
sat_enc3_opt1_50,3226318,6429816,16042866,2.49507,0.531918,0.213187606,1,15,4.9725,17.2487,1,513,P1,P1,P3
sat_enc3_opt1_50_p,1613160,6429816,16042866,2.49507,0.531918,0.213187606,1,15,9.94499,34.4855,1,1024,P1,P1,P3
sat_enc3_opt2_21_d,5933456,1484061,14805254,9.97618,33.533,3.361306632,1,733,2.49522,0.503224,1,15,P3,P3,P3
sat_enc3_opt2_21,2968120,5933456,14805254,2.49522,0.503224,0.201675203,1,15,4.98809,16.7719,1,368,P3,P1,P3
sat_enc3_opt2_21_p,1484061,5933456,14805254,2.49522,0.503224,0.201675203,1,15,9.97618,33.533,1,733,P1,P1,P3
sat_enc3_opt2_12_d,4932603,1236271,12310782,9.958,33.3657,3.350642699,1,783,2.4958,0.501383,1,10,P3,P1,P3
sat_enc3_opt2_12,2472540,4932603,12310782,2.4958,0.501383,0.200890696,1,10,4.979,16.6868,1,393,P1,P1,P3
sat_enc3_opt2_12_p,1236271,4932603,12310782,2.4958,0.501383,0.200890696,1,10,9.958,33.3657,1,783,P3,P1,P3
sat_enc3_opt2_14_d,4950217,1240678,12354810,9.95811,33.3503,3.349059209,1,783,2.49581,0.501378,1,10,P3,P1,P2
sat_enc3_opt2_14,2481354,4950217,12354810,2.49581,0.501378,0.200887888,1,10,4.97906,16.679,1,393,P1,P1,P3
sat_enc3_opt2_14_p,1240678,4950217,12354810,2.49581,0.501378,0.200887888,1,10,9.95811,33.3503,1,783,P3,P1,P3
sat_blocks_d,10223027,559571,22253097,39.7681,76.9849,1.935845565,4,4259,2.17676,7.53617,1,1408,P3,P3,P3
sat_blocks,1119142,10223027,22253097,2.17676,7.53617,3.462104228,1,1408,19.8841,45.2554,1,2814,P1,P1,P3
sat_blocks_p,559571,10223027,22253097,2.17676,7.53617,3.462104228,1,1408,39.7681,76.9849,4,4259,P3,P1,P3
sat_bob-opt_d,152446,51144,355706,6.95499,19.5655,2.813160048,4,1201,2.33332,0.471415,1,3,P3,P3,P3
sat_bob-opt,102288,152446,355706,2.33332,0.471415,0.202036154,1,3,3.47749,9.79546,1,601,P3,P1,P3
sat_bob-opt_p,51144,152446,355706,2.33332,0.471415,0.202036154,1,3,6.95499,19.5655,4,1201,P1,P1,P3
sat_bob_d,77920,26294,181812,6.91458,8.10403,1.172020571,4,269,2.33332,0.471426,1,3,P3,P3,P3
sat_bob,52588,77920,181812,2.33332,0.471426,0.202040869,1,3,3.45729,4.08238,1,135,P1,P1,P3
sat_bob_p,26294,77920,181812,2.33332,0.471426,0.202040869,1,3,6.91458,8.10403,4,269,P3,P1,P3
sat_c10_d,398467,133998,929755,6.93857,24.655,3.553325829,2,3715,2.33333,0.471409,1,3,P3,P3,P3
sat_c10,267996,398467,929755,2.33333,0.471409,0.202032717,1,3,3.46929,12.3376,1,1858,P3,P1,P3
sat_c10_p,133998,398467,929755,2.33333,0.471409,0.202032717,1,3,6.93857,24.655,2,3715,P3,P1,P3
sat_count_d,55724,18607,130020,6.98769,10.4352,1.493369053,1,255,2.33329,0.471464,1,3,P1,P3,P3
sat_count,37213,55724,130020,2.33329,0.471464,0.202059753,1,3,3.49394,5.24151,1,128,P3,P1,P3
sat_count_p,18607,55724,130020,2.33329,0.471464,0.202059753,1,3,6.98769,10.4352,1,255,P3,P1,P3
sat_ctl_d,90812,8806,331537,37.649,24.3298,0.646226991,8,110,3.65081,0.704796,1,4,P3,P3,P2b
sat_ctl,17612,90812,331537,3.65081,0.704796,0.193051953,1,4,18.8245,12.2104,3,61,P1,P1,P2
sat_ctl_p,8806,90812,331537,3.65081,0.704796,0.193051953,1,4,37.649,24.3298,8,110,P1,P1,P3
sat_ctl_5_d,134756,15232,462322,30.352,23.1841,0.763840933,6,113,3.43081,0.788018,2,4,P3,P3,P2b
sat_ctl_5,30464,134756,462322,3.43081,0.788018,0.229688616,2,4,15.176,11.6365,2,63,P3,P1,P3
sat_ctl_5_p,15232,134756,462322,3.43081,0.788018,0.229688616,2,4,30.352,23.1841,6,113,P3,P1,P2
sat_dated_11_d,629461,141860,1429872,10.0795,4.95501,0.491592837,2,26,2.27158,0.935452,1,10,P3,P1,P3
sat_dated_11,283720,629461,1429872,2.27158,0.935452,0.41180676,1,10,5.03973,3.08126,1,13,P3,P1,P3
sat_dated_11_p,141860,629461,1429872,2.27158,0.935452,0.41180676,1,10,10.0795,4.95501,2,26,P1,P1,P3
sat_dated_17_d,1070757,229544,2471122,10.7654,6.78985,0.630710424,2,38,2.30783,0.920471,1,10,P3,P1,P3
sat_dated_17,459088,1070757,2471122,2.30783,0.920471,0.398846969,1,10,5.38268,3.85107,1,19,P3,P1,P3
sat_dated_17_p,229544,1070757,2471122,2.30783,0.920471,0.398846969,1,10,10.7654,6.78985,2,38,P3,P1,P3
sat_E02F20_d,395383,10420,2821910,270.817,1058.83,3.909761943,3,6360,7.13716,4.24121,1,66,P3,P3,P2b
sat_E02F20,20840,395383,2821910,7.13716,4.24121,0.594243369,1,66,135.408,755.644,1,6317,P1,P1,P3
sat_E02F20_p,10420,395383,2821910,7.13716,4.24121,0.594243369,1,66,270.817,1058.83,3,6360,P1,P1,P3
sat_E02F22_d,1301188,13574,11462079,844.414,3500.84,4.145881049,3,20486,8.80893,5.71442,1,78,P3,P3,P2b
sat_E02F22,27148,1301188,11462079,8.80893,5.71442,0.648707618,1,78,422.207,2505.25,1,20439,P1,P1,P3
sat_E02F22_p,13574,1301188,11462079,8.80893,5.71442,0.648707618,1,78,844.414,3500.84,3,20486,P1,P1,P3
sat_gss-18_d,94269,31364,222003,7.07827,6.49522,0.917628178,3,78,2.35499,0.479928,1,3,P1,P3,P3
sat_gss-18,62728,94269,222003,2.35499,0.479928,0.203791948,1,3,3.53914,3.28368,1,39,P3,P3,P2
sat_gss-18_p,31364,94269,222003,2.35499,0.479928,0.203791948,1,3,7.07827,6.49522,3,78,P1,P1,P2
sat_gss-19_d,94548,31435,222806,7.08783,6.51576,0.919288414,3,111,2.35654,0.480388,1,3,P3,P1,P3
sat_gss-19,62870,94548,222806,2.35654,0.480388,0.203853107,1,3,3.54392,3.29381,1,56,P3,P1,P2
sat_gss-19_p,31435,94548,222806,2.35654,0.480388,0.203853107,1,3,7.08783,6.51576,3,111,P1,P1,P2
sat_gss-20_d,94748,31503,223300,7.08821,6.48696,0.915176046,3,78,2.35678,0.480456,1,3,P3,P1,P3
sat_gss-20,63006,94748,223300,2.35678,0.480456,0.2038612,1,3,3.54411,3.27953,1,39,P3,P1,P3
sat_gss-20_p,31503,94748,223300,2.35678,0.480456,0.2038612,1,3,7.08821,6.48696,3,78,P3,P1,P3
sat_gss-22_d,95110,31616,224220,7.09198,6.4881,0.914850296,3,80,2.35748,0.48066,1,3,P3,P1,P3
sat_gss-22,63232,95110,224220,2.35748,0.48066,0.203887202,1,3,3.54599,3.28007,1,40,P3,P1,P3
sat_gss-22_p,31616,95110,224220,2.35748,0.48066,0.203887202,1,3,7.09198,6.4881,3,80,P3,P1,P2
sat_k45_d,488120,163622,1138944,6.96082,15.1644,2.178536437,1,423,2.33333,0.471411,1,3,P3,P1,P2
sat_k45,327243,488120,1138944,2.33333,0.471411,0.202033574,1,3,3.48042,7.59858,1,212,P3,P1,P3
sat_k45_p,163622,488120,1138944,2.33333,0.471411,0.202033574,1,3,6.96082,15.1644,1,423,P3,P1,P3
sat_itox_d,441729,152256,1143974,7.51349,47.9814,6.386033654,1,13119,2.58976,0.536717,1,3,P3,P3,P3
sat_itox,294326,441729,1143974,2.58976,0.536717,0.207245845,1,3,3.88676,24.4079,1,6591,P3,P1,P3
sat_itox_p,152256,441729,1143974,2.58976,0.536717,0.207245845,1,3,7.51349,47.9814,1,13119,P1,P1,P2
sat_k2fix_d,305160,11313,619119,54.7263,46.2323,0.844791261,1,275,2.02883,0.448338,2,9,P2,P2,P2b
sat_k2fix,22617,305160,619119,2.02883,0.448338,0.220983523,2,9,27.3741,42.0016,1,274,P3,P1,P3
sat_k2fix_p,11313,305160,619119,2.02883,0.448338,0.220983523,2,9,54.7263,46.2323,1,275,P3,P1,P3
sat_manol_c10_i_d,750877,252516,1752045,6.93835,21.8239,3.145402005,2,4133,2.33333,0.471407,1,3,P3,P3,P3
sat_manol_c10_i,505032,750877,1752045,2.33333,0.471407,0.20203186,1,3,3.46918,10.9233,1,2067,P1,P1,P3
